,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
142,pevek,RU,2020-09-02 21:48:25,69.7,170.31,99,82,37.32799999999996,5.08
143,souillac,MU,2020-09-02 21:48:25,-20.52,57.52,75,94,68.26999999999995,1.5
144,lavrentiya,RU,2020-09-02 21:48:26,65.58,-171,100,73,42.08000000000004,3.57
145,lebu,CL,2020-09-02 21:48:26,-37.62,-73.65,100,81,46.688000000000045,2.87
146,vila velha,BR,2020-09-02 21:48:26,-20.33,-40.29,40,94,68.26999999999995,1
147,deer lake,CA,2020-09-02 21:48:27,49.17,-57.43,75,82,55.66999999999996,5.7
148,jujuy,,,,,,,,
149,castro,BR,2020-09-02 21:48:27,-24.79,-50.01,11,97,57.61400000000003,2.47
150,ucluelet,CA,2020-09-02 21:45:35,48.93,-125.55,40,72,66.46999999999997,4.1
151,snasa,NO,2020-09-02 21:48:27,64.25,12.38,0,72,50.648000000000025,3.59
152,saint-pierre,RE,2020-09-02 21:48:27,-21.34,55.48,28,72,66.46999999999997,2.1
153,stephenville crossing,CA,2020-09-02 21:48:28,48.5,-58.43,75,76,57.469999999999956,5.7
154,saint george,US,2020-09-02 21:47:09,37.1,-113.58,1,10,98.86999999999996,6.2
155,bolungarvik,,,,,,,,
156,samarai,PG,2020-09-02 21:41:08,-10.62,150.67,71,87,78.70999999999998,7.62
157,slavyanka,RU,2020-09-02 21:48:28,42.86,131.38,100,94,70.62799999999996,14.74
158,cancun,MX,2020-09-02 21:45:07,21.17,-86.85,75,83,84.27200000000005,1.5
159,ostrovnoy,RU,2020-09-02 21:40:37,68.05,39.51,100,78,50.12599999999999,7.33
160,hithadhoo,MV,2020-09-02 21:48:29,-0.6,73.08,100,72,82.30999999999997,4.91
161,sioux lookout,CA,2020-09-02 21:48:29,50.1,-91.92,90,77,59.26999999999996,3.1
162,varaklani,,,,,,,,
163,ust-kamchatsk,,,,,,,,
164,chuy,UY,2020-09-02 21:48:29,-33.7,-53.46,100,93,60.20600000000003,7.32
165,alofi,NU,2020-09-02 21:48:29,-19.06,-169.92,75,37,84.46999999999997,6.2
166,palabuhanratu,,,,,,,,
167,savannah bight,HN,2020-09-02 21:48:30,16.45,-85.85,100,84,78.96199999999996,10.89
168,sao luis de montes belos,BR,2020-09-02 21:48:30,-16.52,-50.37,31,38,68.26999999999995,1.44
169,houma,US,2020-09-02 21:44:20,29.6,-90.72,0,81,83.26400000000004,2.22
170,cabedelo,BR,2020-09-02 21:48:30,-6.98,-34.83,20,100,71.86999999999996,2.6
171,jumla,NP,2020-09-02 21:41:06,29.27,82.18,65,63,67.40600000000003,0.4
172,lasa,IT,2020-09-02 21:48:30,46.62,10.7,5,100,46.66999999999996,2.1
173,cabo san lucas,MX,2020-09-02 21:44:43,22.89,-109.91,20,69,84.27200000000005,4.6
174,kodiak,US,2020-09-02 21:48:31,57.79,-152.41,90,76,55.66999999999996,2.6
175,pilar,BR,2020-09-02 21:48:31,-9.6,-35.96,20,83,71.86999999999996,1.5
176,moree,AU,2020-09-02 21:48:31,-29.47,149.85,0,41,75.46999999999997,7.2
177,onguday,RU,2020-09-02 21:48:32,50.75,86.15,0,51,61.34000000000002,1.37
178,lushunkou,,,,,,,,
179,obluche,,,,,,,,
180,paracatu,BR,2020-09-02 21:48:32,-17.22,-46.87,0,47,63.55399999999995,0.69
181,cuamba,MZ,2020-09-02 21:48:32,-14.8,36.54,44,84,63.067999999999984,2.64
182,karaul,,,,,,,,
183,ponta do sol,PT,2020-09-02 21:48:32,32.67,-17.1,40,73,71.86999999999996,4.1
184,komsomolskiy,UZ,2020-09-02 21:48:33,40.43,71.72,88,36,75.46999999999997,3.1
185,novoagansk,RU,2020-09-02 21:48:33,61.94,76.66,100,92,47.69600000000005,5.84
186,umzimvubu,,,,,,,,
187,thompson,CA,2020-09-02 21:45:03,55.74,-97.86,75,76,50.26999999999996,4.1
188,vardo,NO,2020-09-02 21:48:33,70.37,31.11,97,81,52.03399999999999,8.53
189,jamestown,US,2020-09-02 21:48:34,42.1,-79.24,1,93,69.27799999999996,3.1
190,harper,LR,2020-09-02 21:48:34,4.38,-7.72,76,88,75.46999999999997,3.8
191,arlit,NE,2020-09-02 21:48:34,18.74,7.39,6,34,92.37200000000004,3.23
192,maningrida,AU,2020-09-02 21:48:34,-12.07,134.27,1,55,85.94600000000005,5.95
193,namibe,AO,2020-09-02 21:48:34,-15.2,12.15,0,85,63.266000000000005,2.71
194,vila franca do campo,PT,2020-09-02 21:48:35,37.72,-25.43,75,73,73.66999999999996,2.6
195,kahului,US,2020-09-02 21:48:35,20.89,-156.47,40,55,88.06999999999996,10.8
196,yellowknife,CA,2020-09-02 21:48:35,62.46,-114.35,40,50,53.86999999999996,6.2
197,attawapiskat,,,,,,,,
198,lagoa,PT,2020-09-02 21:48:35,39.05,-27.98,5,80,73.11199999999997,2.27
199,gold coast,AU,2020-09-02 21:43:54,-28,153.43,13,60,77.26999999999995,7.7
200,havre-saint-pierre,CA,2020-09-02 21:48:36,50.23,-63.6,90,87,55.66999999999996,3.1
201,surman,LY,2020-09-02 21:48:36,32.76,12.57,48,80,79.91600000000001,5.79
202,gat,IL,2020-09-02 21:48:36,31.61,34.76,0,85,79.26799999999999,1.3
203,salalah,OM,2020-09-02 21:48:36,17.02,54.09,90,100,77.26999999999995,2.6
204,beloha,MG,2020-09-02 21:40:50,-25.17,45.05,3,73,56.33599999999997,3.3
205,cidreira,BR,2020-09-02 21:48:36,-30.18,-50.21,2,91,62.6,6.84
